2026-02-25 10:15:22 - Message: UPI KYC pending. Click link or account freeze | Classification: scam | Confidence: 94.67%
2026-02-25 11:30:45 - Message: SBI: Rs 12000 credited to a/c XX789. Ref 123456 | Classification: legitimate | Confidence: 96.12%
2026-02-25 14:05:10 - Message: CBI digital arrest warrant issued. Join video call now | Classification: scam | Confidence: 98.45%
2026-02-25 16:20:33 - Message: PM Kisan Rs 2000 credited. Check official app | Classification: legitimate | Confidence: 89.34%
2026-02-26 09:45:12 - Message: Aapka account block ho raha hai. KYC update karo | Classification: scam | Confidence: 92.78%
2026-02-26 12:10:55 - Message: Amazon refund Rs 4500 processed successfully | Classification: legitimate | Confidence: 91.23%
2026-02-26 15:30:40 - Message: ED notice: Transfer money to safe account | Classification: scam | Confidence: 97.56%
2026-02-26 18:05:22 - Message: IRCTC: PNR 9876543210 departing 27-Feb | Classification: legitimate | Confidence: 88.90%
2026-02-27 08:20:15 - Message: Won Rs 25 Lakh lottery. Pay fee Rs 5999 | Classification: scam | Confidence: 95.34%
2026-02-27 10:55:30 - Message: GPay: Rs 300 cashback credited | Classification: legitimate | Confidence: 93.67%
2026-02-27 13:40:05 - Message: Parcel held at customs. Pay duty Rs 4800 | Classification: scam | Confidence: 96.89%
2026-02-27 16:15:50 - Message: SBI OTP 472819 for login. Do not share | Classification: legitimate | Confidence: 85.12%
2026-02-27 19:30:25 - Message: Digital arrest by CBI. Your name in case | Classification: scam | Confidence: 99.01%
2026-02-28 07:10:40 - Message: Electricity bill Rs 1650 paid successfully | Classification: legitimate | Confidence: 94.56%
2026-02-28 09:45:15 - Message: Free laptop scheme 2026. Share Aadhaar | Classification: scam | Confidence: 93.78%
2026-02-28 12:20:30 - Message: Paytm movie ticket booked. Show QR at entry | Classification: legitimate | Confidence: 90.45%
2026-02-28 14:55:05 - Message: ED raid scheduled. Join video call | Classification: scam | Confidence: 97.23%
2026-02-28 17:30:50 - Message: Amazon order #OD987654 delivered | Classification: legitimate | Confidence: 92.10%
2026-02-28 20:05:35 - Message: Aapka SIM fraud me involved. Pay fine | Classification: scam | Confidence: 96.67%2026-02-28 00:23:25,711 - 127.0.0.1 - - [28/Feb/2026 00:23:25] "GET /dashboard HTTP/1.1" 200 -
2026-02-28 00:23:26,774 - 127.0.0.1 - - [28/Feb/2026 00:23:26] "GET /dashboard HTTP/1.1" 200 -
2026-02-28 00:23:27,278 - 127.0.0.1 - - [28/Feb/2026 00:23:27] "GET /dashboard HTTP/1.1" 200 -
2026-02-28 00:23:27,534 - 127.0.0.1 - - [28/Feb/2026 00:23:27] "GET /dashboard HTTP/1.1" 200 -
2026-02-28 00:45:53,006 - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-02-28 00:45:53,006 - [33mPress CTRL+C to quit[0m
2026-02-28 00:45:54,950 - 127.0.0.1 - - [28/Feb/2026 00:45:54] "GET / HTTP/1.1" 200 -
2026-02-28 00:46:03,344 - 127.0.0.1 - - [28/Feb/2026 00:46:03] "GET /fake_news HTTP/1.1" 200 -
2026-02-28 00:46:15,523 - 127.0.0.1 - - [28/Feb/2026 00:46:15] "GET /dashboard HTTP/1.1" 200 -
2026-02-28 00:46:29,060 - 127.0.0.1 - - [28/Feb/2026 00:46:29] "GET /fake_news HTTP/1.1" 200 -
2026-02-28 00:50:55,249 - 127.0.0.1 - - [28/Feb/2026 00:50:55] "GET / HTTP/1.1" 200 -
2026-02-28 00:50:58,106 - Message: School scholarship Rs 10000 approved. Aapka bank details share karo OTP ke saath | Classification: scam | Confidence: 99.97%
2026-02-28 00:50:58,107 - 127.0.0.1 - - [28/Feb/2026 00:50:58] "POST /classify HTTP/1.1" 200 -
2026-02-28 00:51:11,447 - Message: GPay: Rs 200 cashback credited for transaction on 27-Feb | Classification: legitimate | Confidence: 99.98%
2026-02-28 00:51:11,447 - 127.0.0.1 - - [28/Feb/2026 00:51:11] "POST /classify HTTP/1.1" 200 -
2026-02-28 00:51:29,091 - 127.0.0.1 - - [28/Feb/2026 00:51:29] "GET /fake_news HTTP/1.1" 200 -
2026-02-28 00:51:42,875 - 127.0.0.1 - - [28/Feb/2026 00:51:42] "GET /history HTTP/1.1" 200 -
2026-02-28 00:51:43,659 - 127.0.0.1 - - [28/Feb/2026 00:51:43] "GET /fake_news HTTP/1.1" 200 -
2026-02-28 00:51:49,411 - 127.0.0.1 - - [28/Feb/2026 00:51:49] "GET /dashboard HTTP/1.1" 200 -
2026-02-28 00:51:56,102 - 127.0.0.1 - - [28/Feb/2026 00:51:56] "GET /about HTTP/1.1" 200 -
2026-02-28 00:51:57,268 - 127.0.0.1 - - [28/Feb/2026 00:51:57] "GET /history HTTP/1.1" 200 -
2026-02-28 00:52:21,139 - 127.0.0.1 - - [28/Feb/2026 00:52:21] "GET /fake_news HTTP/1.1" 200 -
2026-02-28 01:08:09,952 - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-02-28 01:08:09,952 - [33mPress CTRL+C to quit[0m
2026-02-28 01:08:11,945 - 127.0.0.1 - - [28/Feb/2026 01:08:11] "GET / HTTP/1.1" 200 -
2026-02-28 01:08:16,261 - 127.0.0.1 - - [28/Feb/2026 01:08:16] "GET /fake_news HTTP/1.1" 200 -
2026-02-28 01:08:40,605 - 127.0.0.1 - - [28/Feb/2026 01:08:40] "GET /dashboard HTTP/1.1" 200 -
2026-02-28 01:08:45,642 - 127.0.0.1 - - [28/Feb/2026 01:08:45] "GET /update_data HTTP/1.1" 200 -
2026-02-28 01:08:50,642 - 127.0.0.1 - - [28/Feb/2026 01:08:50] "GET /update_data HTTP/1.1" 200 -
2026-02-28 01:08:51,416 - 127.0.0.1 - - [28/Feb/2026 01:08:51] "GET /history HTTP/1.1" 200 -
2026-02-28 01:08:52,619 - 127.0.0.1 - - [28/Feb/2026 01:08:52] "GET /about HTTP/1.1" 200 -
2026-02-28 01:08:52,728 - 127.0.0.1 - - [28/Feb/2026 01:08:52] "GET /about HTTP/1.1" 200 -
2026-02-28 01:08:54,986 - 127.0.0.1 - - [28/Feb/2026 01:08:54] "GET / HTTP/1.1" 200 -
